,trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
13,2019-01-01 00:49:25+00:00,"Little, Gutmann and Lynch",shopping_net,83.52,Ravenna,NE,41.0233,-98.9041,2202,"Solicitor, Scotland",1974-06-21 00:00:00+00:00,5f7aafc802c8acb5924041bca310040f,40.992141,-98.831582,0
14,2019-01-01 00:56:12+00:00,"Swaniawski, Lowe and Robel",shopping_pos,317.14,Parks,AZ,35.2563,-111.95,759,"Geologist, engineering",1957-03-28 00:00:00+00:00,3fe3286b0ea3f8c8857ec2e3da17b853,35.268124,-112.682895,0
15,2019-01-01 00:56:59+00:00,"Reichert, Huels and Hoppe",shopping_net,113.4,Fort Washakie,WY,43.0048,-108.8964,1645,Freight forwarder,1976-02-26 00:00:00+00:00,9d660a18154a3ba5fe869f373c6f819c,42.868965,-108.50335,0
16,2019-01-01 01:00:48+00:00,Howe Lt,misc_pos,218.71,Littleton,CO,39.5994,-105.0044,320420,Water engineer,1975-07-31 00:00:00+00:00,43204045928cb3449edc63078a75b48c,39.335171,-104.102882,0
17,2019-01-01 01:02:16+00:00,Wolf Inc,grocery_pos,89.11,Meadville,MO,39.7795,-93.3014,964,Tourist information centre manager,1974-12-23 00:00:00+00:00,1cb03ad950bab1ca74b02500644ec1ba,40.773306,-92.821257,0
18,2019-01-01 01:04:48+00:00,Vandervort-Funk,grocery_pos,50.68,Moab,UT,38.5677,-109.5271,9772,Location manager,1989-11-24 00:00:00+00:00,61861370b5c31b9c00fd949124944d7a,38.482541,-108.853856,0
19,2019-01-01 01:09:41+00:00,Ledner-Pfannerstill,gas_transport,90.54,Hawthorne,CA,33.9143,-118.3493,93193,"Editor, magazine features",1995-04-19 00:00:00+00:00,295b782f9fa48f76f508179ec6412f9d,32.990285,-117.836803,0
20,2019-01-01 01:19:02+00:00,"Schaefer, McGlynn and Bosco",gas_transport,51.33,Manville,WY,42.73,-104.7024,241,Educational psychologist,1980-12-16 00:00:00+00:00,a8af4c635415817aaeea5cbbe380e010,42.508248,-105.34481,0
21,2019-01-01 01:22:56+00:00,Fisher-Schowalte,shopping_net,226.33,June Lake,CA,37.7773,-119.0825,633,Health service manager,1927-09-09 00:00:00+00:00,208e003f309f9db37b3c40ddc9271908,36.819789,-119.670559,0
22,2019-01-01 01:23:00+00:00,Medhurst PLC,shopping_net,215.99,Sixes,OR,42.825,-124.4409,217,Retail merchandiser,1928-10-01 00:00:00+00:00,e13482d8e24ed41362ff84bb9f100623,42.988724,-123.904978,0
23,2019-01-01 01:23:17+00:00,Kerluke Inc,misc_net,1.47,Holstein,NE,40.4542,-98.6538,331,Telecommunications researcher,1950-08-19 00:00:00+00:00,6569a85a160476c677bf9a4c2da40cfd,41.14486,-99.38762,0
24,2019-01-01 01:23:50+00:00,Bauch-Rayno,grocery_pos,122.05,Westerville,NE,41.4193,-99.3844,73,Product designer,1935-02-10 00:00:00+00:00,d83aa7370cef2c7a209118f313d0b360,41.609064,-99.650276,0
25,2019-01-01 01:34:25+00:00,Hills-Olson,grocery_net,27.03,Ballwin,MO,38.577,-90.5255,92608,"Engineer, communications",2001-07-26 00:00:00+00:00,011f7fc2db063dc3f63219a76e052ace,38.984909,-90.842219,0
26,2019-01-01 01:36:06+00:00,Durgan-Aue,misc_net,23.8,Fields Landing,CA,40.7268,-124.2174,276,"Scientist, audiological",1929-05-06 00:00:00+00:00,98fec127a1545ec4dad787e5326bd374,40.110823,-124.429537,0
27,2019-01-01 01:41:39+00:00,Pacocha-Bauch,shopping_pos,2.1,Grenada,CA,41.6125,-122.5258,589,Systems analyst,1945-12-21 00:00:00+00:00,53fb041938a6e239a2e1679d27a7f9c2,41.096733,-122.623454,0
28,2019-01-01 01:50:31+00:00,"Reilly, Heaney and Cole",gas_transport,67.91,Fields Landing,CA,40.7268,-124.2174,276,"Scientist, audiological",1929-05-06 00:00:00+00:00,8e364131ffb75a95c9a04b304c9994e4,41.137569,-123.63216,0
29,2019-01-01 02:06:56+00:00,Bradtke PLC,grocery_pos,78.13,Louisiana,MO,39.4336,-91.0664,4593,"Teacher, early years/pre",1940-11-11 00:00:00+00:00,e46a01d459665d3466b3a2148eb80f4e,40.247129,-91.699005,0
30,2019-01-01 02:08:13+00:00,"Zieme, Bode and Dooley",gas_transport,52.67,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,1987-11-18 00:00:00+00:00,29768857d3597be571bce4497a48c735,39.662816,-93.712244,0
31,2019-01-01 02:08:48+00:00,Hills-Witting,shopping_net,2.11,Mesa,ID,44.6255,-116.4493,129,Cartographer,1965-12-15 00:00:00+00:00,3749d51cb61d34bcaae08fcbee53fceb,44.710102,-117.229968,0
32,2019-01-01 02:12:07+00:00,"Bernhard, Grant and Langworth",shopping_pos,1.42,Westerville,NE,41.4193,-99.3844,73,Product designer,1935-02-10 00:00:00+00:00,0020b02e5638ee80c7176007e1b483fa,40.790587,-99.011834,0
33,2019-01-01 02:12:48+00:00,Lockman Lt,grocery_pos,104.08,Lonetree,WY,41.0552,-110.1603,49,Research scientist (physical sciences),1981-07-05 00:00:00+00:00,991f851c15545feaa5c0c90e264a66a3,41.677942,-110.829354,0
34,2019-01-01 02:13:16+00:00,Harber Inc,gas_transport,39.98,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,1989-07-17 00:00:00+00:00,f8ab97ed82e0669c50d3d8a60baf9c64,38.995701,-93.569356,0
35,2019-01-01 02:14:03+00:00,Bauch-Rayno,grocery_pos,192.82,Colorado Springs,CO,38.8881,-104.6556,525713,Museum/gallery exhibitions officer,1992-05-09 00:00:00+00:00,3dcdb9b61cc3770b9c8b78818173e6d6,39.299824,-103.854765,0
36,2019-01-01 02:20:48+00:00,"Kerluke, Kertzmann and Wiz",misc_net,6.37,Hawthorne,CA,33.9143,-118.3493,93193,"Editor, magazine features",1995-04-19 00:00:00+00:00,bcff0b6c116a2ed80b212aa3acb07195,34.108257,-117.549012,0
37,2019-01-01 02:21:43+00:00,"Johnston, Nikolaus and Maggio",grocery_net,41.01,Blairsden-Graeagle,CA,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),1967-05-27 00:00:00+00:00,ff342d2dad68412cbc24eb27b2370291,39.949197,-119.792299,0
38,2019-01-01 02:26:16+00:00,Torp-Labadie,gas_transport,49.53,Freedom,WY,43.0172,-111.0292,471,"Education officer, museum",1967-08-02 00:00:00+00:00,c09831d3ebf12b67982f193d03162974,43.038723,-111.821595,0
39,2019-01-01 02:28:51+00:00,Doyle Lt,grocery_pos,157.07,Cardwell,MO,36.0434,-90.2907,1120,Television floor manager,1957-04-17 00:00:00+00:00,2718171b5be46962b081ee742ed3cd42,35.632995,-89.589641,0
40,2019-01-01 02:31:06+00:00,McDermott-Rice,misc_pos,13.67,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,1987-11-18 00:00:00+00:00,49b8ff92b52599bc8c265d0b8d008593,38.058492,-94.687196,0
41,2019-01-01 02:32:26+00:00,Spinka Inc,grocery_net,57.57,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,1981-10-24 00:00:00+00:00,0bffbd021d632206028c981630007c12,32.635757,-112.19588600000002,0
42,2019-01-01 02:33:06+00:00,McGlynn-Jaskolski,misc_pos,99.08,Newhall,CA,34.3795,-118.523,34882,Health physicist,1971-04-25 00:00:00+00:00,56821cb1d8c2c3d57299cc01bfd2e071,34.370236,-118.195791,0
43,2019-01-01 02:37:26+00:00,Schmitt Lt,misc_net,29.19,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,1954-07-05 00:00:00+00:00,d51dc2a26160f1425df51982c6d05257,38.882246,-122.050228,0
44,2019-01-01 02:42:12+00:00,Donnelly PLC,misc_net,185.04,Redford,MO,37.3272,-91.0243,241,Investment analyst,1974-10-27 00:00:00+00:00,0a630c19d0ef93f9d262d0ef9bff9358,36.518512,-91.363405,0
45,2019-01-01 02:42:25+00:00,"Kutch, Hermiston and Farrell",gas_transport,48.66,Weeping Water,NE,40.8731,-96.1528,1517,Dealer,1951-11-08 00:00:00+00:00,61efe8834c23dea4a334ea06a4dc293d,41.066297,-95.412102,0
46,2019-01-01 02:46:17+00:00,Torp-Lemke,misc_pos,3.32,Portland,OR,45.5303,-122.7033,841711,"Engineer, building services",1963-04-04 00:00:00+00:00,900f6896c69d904420bec5e52cf49a95,44.727585,-123.282623,0
47,2019-01-01 02:54:10+00:00,Kassulke PLC,shopping_net,1055.47,Iliff,CO,40.7692,-103.0968,648,Community arts worker,1969-09-21 00:00:00+00:00,adca67d0a40b26fb8afeccbae31b7828,39.940564,-103.528231,0
48,2019-01-01 02:56:28+00:00,Dach-Nade,misc_net,16.65,Burlington,WA,48.4786,-122.3345,14871,Public house manager,1974-03-10 00:00:00+00:00,ffdaa290d0841d7babaf495aab382031,49.073601,-122.924793,0
49,2019-01-01 02:56:56+00:00,Hills-Witting,shopping_net,8.7,Wales,AK,64.7556,-165.6723,145,"Administrator, education",1939-11-09 00:00:00+00:00,f72573a40026254460e02d05ae72672a,65.02349699999999,-166.148374,0
50,2019-01-01 03:01:34+00:00,"Bins, Balistreri and Beatty",shopping_pos,3.19,Mound City,MO,40.1362,-95.2138,1631,Architect,1953-01-20 00:00:00+00:00,20c1cf41b472000887395508c5796354,39.299707,-95.975808,0
51,2019-01-01 03:07:21+00:00,Miller-Hauck,grocery_pos,202.71,Burlington,WA,48.4786,-122.3345,14871,Public house manager,1974-03-10 00:00:00+00:00,4dde02d07e676d0df3e90565c242a2ec,49.221275,-123.32192,0
52,2019-01-01 03:12:06+00:00,"Rohan, White and Aufderh",misc_net,8.68,Greenview,CA,41.5403,-122.9366,308,Call centre manager,1958-09-20 00:00:00+00:00,6d76dfcd39a8262fa7b8e723e0c6cf7f,41.013729,-122.403496,0
53,2019-01-01 03:12:10+00:00,DuBuque LLC,grocery_pos,176.57,Lakeport,CA,39.047,-122.9328,11256,Podiatrist,1972-10-18 00:00:00+00:00,26db4a0f3aa2089bd1823652cba9ece1,38.76254,-122.339375,0
54,2019-01-01 03:12:23+00:00,Bins-Rice,gas_transport,49.1,Westerville,NE,41.4193,-99.3844,73,Product designer,1935-02-10 00:00:00+00:00,0e83bc0fc886293d57759db709b80962,40.722191,-98.680216,0
55,2019-01-01 03:12:57+00:00,"Cormier, Stracke and Thiel",entertainment,3.14,Honokaa,HI,20.0827,-155.488,4878,Physiotherapist,1966-12-03 00:00:00+00:00,cb117fff5645082a2525119c1eafec53,20.995398,-155.36936200000002,0
56,2019-01-01 03:15:42+00:00,"Gottlieb, Considine and Schultz",shopping_net,6.32,Llano,NM,36.1486,-105.6648,247,Architectural technologist,1961-10-24 00:00:00+00:00,4c17683e079020ad3865092205f92d81,36.867679,-105.042958,0
57,2019-01-01 03:18:00+00:00,"Jenkins, Hauck and Friesen",gas_transport,44.68,Carlotta,CA,40.507,-123.9743,1139,"Therapist, occupational",1951-01-15 00:00:00+00:00,12ef4798422ce322c149339afd3072c7,40.459474,-124.214281,0
58,2019-01-01 03:24:07+00:00,Cummerata-Jones,gas_transport,69.3,Ballwin,MO,38.577,-90.5255,92608,"Engineer, communications",2001-07-26 00:00:00+00:00,6736a2032d3a9f612176c57e07480c5b,38.166105,-90.912756,0
59,2019-01-01 03:37:43+00:00,"Goldner, Kovacek and Abbott",grocery_pos,111.81,Dumont,CO,39.7532,-105.6356,565,Mental health nurse,1978-08-27 00:00:00+00:00,3dedb528e11d51102e96dd450a82ba0a,40.417719,-105.38411,0
60,2019-01-01 03:45:30+00:00,"Romaguera, Cruickshank and Greenholt",shopping_net,511.09,Grenada,CA,41.6125,-122.5258,589,Systems analyst,1945-12-21 00:00:00+00:00,46397744ae13d2c0843e8fba6f164379,42.412743,-121.617857,0
61,2019-01-01 03:49:16+00:00,Kilback LLC,grocery_pos,68.96,Fullerton,NE,41.36600000000001,-98.0054,1749,"Surveyor, mining",1973-05-07 00:00:00+00:00,b2820a9708d41515e2a1590d3cce80d4,41.182138,-98.751918,0
62,2019-01-01 03:54:07+00:00,VonRueden Group,grocery_net,105.38,North Loup,NE,41.4972,-98.7858,509,"Nurse, children's",1980-09-15 00:00:00+00:00,dc1c09ff158f17c023c59c9d9e0d196f,41.271599,-99.630652,0
63,2019-01-01 03:56:13+00:00,"Haley, Jewess and Bechtel",shopping_pos,2.49,Browning,MO,40.029,-93.1607,602,Cytogeneticist,1954-07-14 00:00:00+00:00,d5b3a6e6afe4ff2c96b5fe0355ff8b55,39.052625,-92.428684,0
64,2019-01-01 04:00:47+00:00,Hudson-Ratke,grocery_pos,122.86,Kent,OR,45.0838,-120.6649,60,Museum education officer,1942-04-03 00:00:00+00:00,b48cee6edd7f798cb5d4080b82e4a1fe,44.189625,-121.655209,0
65,2019-01-01 04:03:53+00:00,Brekke and Sons,gas_transport,84.58,Holstein,NE,40.4542,-98.6538,331,Telecommunications researcher,1950-08-19 00:00:00+00:00,946ab3d0eaf1a37f11668ae3c1d55a2c,40.310753000000005,-99.581023,0
66,2019-01-01 04:08:38+00:00,Terry-Huel,shopping_net,9.52,Mound City,MO,40.1362,-95.2138,1631,Architect,1953-01-20 00:00:00+00:00,771a63aaf5210acfbf5ac2403aad30af,39.790646,-95.043146,0
67,2019-01-01 04:14:13+00:00,Eichmann-Russel,misc_pos,35.0,Fiddletown,CA,38.5234,-120.6763,832,Immigration officer,1987-05-19 00:00:00+00:00,6f2eff909c82577af2cdb75e5b9a6232,38.370985,-121.358847,0
68,2019-01-01 04:15:24+00:00,"Heller, Gutmann and Zieme",grocery_pos,203.26,Huntington Beach,CA,33.6773,-118.0051,190249,"Therapist, horticultural",1976-09-17 00:00:00+00:00,b34814818c2ecd0f86214bf1a6dc1a64,33.010001,-117.705689,0
69,2019-01-01 04:23:33+00:00,Bailey-Mo,grocery_pos,123.9,Blairsden-Graeagle,CA,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),1967-05-27 00:00:00+00:00,2a98efe0b90779ab29581f3553d87739,39.229442,-120.493701,0
70,2019-01-01 04:26:21+00:00,Corwin-Collins,gas_transport,50.16,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,1989-07-17 00:00:00+00:00,e95e53d1c091289a54cde0414762751d,38.964313,-93.497747,0
71,2019-01-01 04:29:14+00:00,Balistreri-Nade,misc_pos,22.88,Tomales,CA,38.2427,-122.9145,337,Occupational psychologist,1954-07-05 00:00:00+00:00,2fcbde131cff833751dde53da54da6da,39.060101,-121.969417,0
72,2019-01-01 04:32:59+00:00,"Rippin, Kub and Mann",misc_net,6.0,Manville,WY,42.73,-104.7024,241,Educational psychologist,1980-12-16 00:00:00+00:00,28528ab2c10390c3b31e401c44365ab5,42.770247,-103.945514,0
73,2019-01-01 04:40:53+00:00,"Casper, Hand and Zul",grocery_pos,175.51,Newhall,CA,34.3795,-118.523,34882,Health physicist,1971-04-25 00:00:00+00:00,9f5a130b4ae9efb87867ce8dc878f412,33.731713,-119.507821,0
74,2019-01-01 04:43:26+00:00,Kutch LLC,gas_transport,69.64,Grenada,CA,41.6125,-122.5258,589,Systems analyst,1945-12-21 00:00:00+00:00,23cd7287ce2a70d9754cc0f1263ee99f,41.673903,-123.51086,0
75,2019-01-01 04:52:32+00:00,O'Keefe-Hudson,grocery_pos,209.89,Phoenix,AZ,33.5623,-112.0559,1312922,Contractor,1981-10-24 00:00:00+00:00,e6528b0d35f36cb29cdca6936aaf1107,33.133990999999995,-111.460639,0
76,2019-01-01 04:55:19+00:00,McDermott-Weimann,grocery_pos,236.18,Meridian,ID,43.6498,-116.4306,84106,Intelligence analyst,1971-02-11 00:00:00+00:00,f5afac4b2726300db61d131c65db187d,44.404099,-115.887498,0
77,2019-01-01 04:55:50+00:00,"Connelly, Reichert and Fritsch",gas_transport,57.36,Centerview,MO,38.7897,-93.8702,2368,Electronics engineer,1989-07-17 00:00:00+00:00,bc763a7872b62564b0ebb0a94e2a4f26,38.508607,-93.603368,0
78,2019-01-01 04:56:01+00:00,Cummerata-Jones,gas_transport,55.99,Glendale,CA,34.1556,-118.2322,172817,Advertising account planner,1982-07-30 00:00:00+00:00,011d132dc3afd3480fd36cb5f3d2b09b,33.778002,-119.013484,0
79,2019-01-01 04:57:58+00:00,"Streich, Hansen and Veum",gas_transport,61.39,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21 00:00:00+00:00,9825a8292f6b25bb7d54b253bb3336f6,48.394218,-117.36356299999998,0
80,2019-01-01 04:59:14+00:00,"Reichert, Shanahan and Hayes",shopping_net,78.56,Alva,WY,44.6873,-104.4414,110,"Administrator, local government",1973-05-16 00:00:00+00:00,d01846bf25a4eedf3366527b3b79b4ff,44.678642,-104.128312,0
81,2019-01-01 05:02:02+00:00,Dickinson-Rempel,misc_pos,16.85,Blairstown,MO,38.5319,-93.9221,467,Agricultural consultant,1950-05-27 00:00:00+00:00,021e1cf84aec0f63646565e38cb756ec,39.04432,-94.698256,0
82,2019-01-01 05:07:11+00:00,"Wiza, Schaden and Stark",misc_pos,45.4,Laguna Hills,CA,33.615,-117.7114,45303,Sales executive,1969-12-22 00:00:00+00:00,987db990882b791e835e5b589cb84abc,33.916129,-117.095988,0
83,2019-01-01 05:14:57+00:00,Spinka Inc,grocery_net,48.31,Dumont,CO,39.7532,-105.6356,565,Mental health nurse,1978-08-27 00:00:00+00:00,23a79ef1e368a318c1db57a666d024d6,40.504011,-106.561224,0
84,2019-01-01 05:16:45+00:00,"Schaefer, Maggio and Daugherty",gas_transport,81.25,Albuquerque,NM,35.0561,-106.5506,641349,Charity officer,1967-01-24 00:00:00+00:00,d534c24b383c65487d128d525c8d6b91,35.977961,-107.434031,0
85,2019-01-01 05:19:17+00:00,Bailey-Mo,grocery_pos,193.1,Azusa,CA,34.1248,-117.9031,59705,Civil Service fast streamer,1983-06-23 00:00:00+00:00,6c8edd752c68cb18b781380b5487e5cd,33.437683,-117.678285,0
86,2019-01-01 05:36:15+00:00,Sporer Inc,gas_transport,51.84,Gardiner,OR,43.7857,-124.1437,260,"Engineer, maintenance",1956-09-01 00:00:00+00:00,9c47babfde0e067a090c5cea65e58835,44.047555,-123.800294,0
87,2019-01-01 05:36:16+00:00,Prohaska-Murray,gas_transport,46.66,Mound City,MO,40.1362,-95.2138,1631,Architect,1953-01-20 00:00:00+00:00,b8e3100c6bccb605dd98a848e2c76eda,41.071606,-94.999602,0
88,2019-01-01 05:39:44+00:00,Bartoletti-Wunsch,gas_transport,56.65,Blairsden-Graeagle,CA,39.8127,-120.6405,1725,Chartered legal executive (England and Wales),1967-05-27 00:00:00+00:00,c198762abf80d696e56eaa0646632488,39.25212,-120.809112,0
89,2019-01-01 05:41:23+00:00,O'Keefe-Hudson,grocery_pos,175.26,Rock Springs,WY,41.606,-109.23,27971,Music therapist,1984-08-01 00:00:00+00:00,ed00708f7af7c1818bc14f4dd36036d4,42.25722,-109.312091,0
90,2019-01-01 05:44:16+00:00,Heller-Langosh,gas_transport,62.62,Paauilo,HI,20.0271,-155.3697,1490,"Scientist, research (maths)",1991-04-13 00:00:00+00:00,4e14f0bd0481beb88caa1dc4422ed8e6,19.209212,-155.16214,0
91,2019-01-01 05:50:09+00:00,Emard Inc,gas_transport,32.6,Browning,MO,40.029,-93.1607,602,Cytogeneticist,1954-07-14 00:00:00+00:00,86cad0e7682a85fa6418dde1a0a33a44,39.335685,-92.982647,0
92,2019-01-01 05:52:39+00:00,Vandervort-Funk,grocery_pos,83.38,Eugene,OR,44.0385,-123.0614,191096,"Scientist, physiological",1964-04-06 00:00:00+00:00,6e012022d698a9136bfac48be9b3d050,43.659954,-123.848539,0
93,2019-01-01 05:56:54+00:00,"Adams, Kovacek and Kuhlman",grocery_net,74.85,Daly City,CA,37.6787,-122.478,107941,"Buyer, industrial",1991-10-04 00:00:00+00:00,5674d7c6891a3d5e9a9fa208730057a4,38.544098,-123.311607,0
94,2019-01-01 06:15:18+00:00,Pacocha-Bauch,shopping_pos,1.95,Mendon,UT,41.71,-111.9817,2078,"Scientist, audiological",1963-06-13 00:00:00+00:00,dac965dc4f91c065fe36327431ead52a,41.930677,-111.044483,0
95,2019-01-01 06:20:49+00:00,Hudson-Ratke,grocery_pos,199.55,Littleton,CO,39.5994,-105.0044,320420,Water engineer,1975-07-31 00:00:00+00:00,a5c13edd756f36c026630d13672974bd,38.619691,-105.498059,0
96,2019-01-01 06:24:47+00:00,Harber Inc,gas_transport,94.48,Orient,WA,48.8878,-118.2105,149,Special educational needs teacher,1978-06-21 00:00:00+00:00,c9235f76ecb45e67372d79ecac2ffb37,49.513555,-117.819653,0
97,2019-01-01 06:25:07+00:00,Berge LLC,gas_transport,79.39,Mesa,ID,44.6255,-116.4493,129,Cartographer,1965-12-15 00:00:00+00:00,606b05a976ee2bca7323d6afc85e63ce,43.673602,-116.40606,0
98,2019-01-01 06:25:40+00:00,Pagac LLC,shopping_pos,5.05,Powell Butte,OR,44.2415,-121.0113,2016,Local government officer,1953-12-25 00:00:00+00:00,d44f496e9daab912914ac9513b038df2,44.245679,-121.333658,0
99,2019-01-01 06:32:36+00:00,Erdman-Kertzmann,gas_transport,69.72,Utica,MO,39.7417,-93.6289,271,Land/geomatics surveyor,1972-04-18 00:00:00+00:00,6ed5502e8464efee2e341959617bb656,39.053407,-93.972916,0
100,2019-01-01 06:47:11+00:00,Kilback LLC,grocery_pos,94.7,Santa Monica,CA,34.0287,-118.4924,92043,"Civil engineer, contracting",1961-04-25 00:00:00+00:00,53ce9a8288680138029c000eccda3ef5,34.238172,-117.644726,0
101,2019-01-01 06:48:38+00:00,McGlynn-Heathcote,misc_net,199.91,Laramie,WY,41.4247,-105.4781,35371,"Pilot, airline",1988-09-02 00:00:00+00:00,515bbdc506029e792d2e1ed06e860645,40.476974,-105.541846,0
102,2019-01-01 06:52:31+00:00,Torp-Labadie,gas_transport,48.1,Lagrange,WY,41.6423,-104.1974,635,Product/process development scientist,1973-07-13 00:00:00+00:00,db9c80e90e2d21b61b53050f15845615,41.045216,-104.409531,0
103,2019-01-01 06:54:07+00:00,"Greenholt, Jacobi and Gleason",gas_transport,64.92,Brainard,NE,41.1832,-96.9882,614,Associate Professor,1967-06-20 00:00:00+00:00,c2959f6ce246f729459ea50b5de61c78,42.131440000000005,-96.938715,0
104,2019-01-01 07:03:11+00:00,Volkman-Predovic,shopping_net,6.48,Humboldt,AZ,34.5189,-112.2523,1179,"Civil engineer, contracting",1955-01-20 00:00:00+00:00,1c3b455d21e7debb5c8b20097666958e,33.676231,-112.389594,0
105,2019-01-01 07:09:10+00:00,Funk Group,grocery_net,51.28,Phoenix,AZ,33.8155,-112.1202,1312922,Counselling psychologist,1999-11-30 00:00:00+00:00,c56c309fa13d1c9ee97aadd3b1eb313b,34.166811,-111.595599,0
106,2019-01-01 07:10:26+00:00,"Christiansen, Goyette and Schamberge",gas_transport,92.76,Mendon,UT,41.71,-111.9817,2078,"Scientist, audiological",1963-06-13 00:00:00+00:00,caedb2e95360b4615a85193357810e38,42.599951,-112.758179,0
107,2019-01-01 07:11:55+00:00,Conroy-Cruickshank,gas_transport,71.06,Redford,MO,37.3272,-91.0243,241,Investment analyst,1974-10-27 00:00:00+00:00,a29812ac63e9b065046efd387a6ec8b5,36.447073,-91.941927,0
108,2019-01-01 07:13:01+00:00,Jast and Sons,food_dining,74.09,Corona,CA,33.8419,-117.6043,233717,Wellsite geologist,1966-05-22 00:00:00+00:00,4a4cf450e1ee2741e3c3a43544c3cd64,33.917815999999995,-117.821826,0
109,2019-01-01 07:17:54+00:00,Bailey-Mo,grocery_pos,60.65,Moab,UT,38.5677,-109.5271,9772,Location manager,1989-11-24 00:00:00+00:00,ce01044c1bfbdb2dd8afb20b3b104f98,38.015263,-109.543831,0
110,2019-01-01 07:20:02+00:00,Mraz-Herzog,gas_transport,60.15,Yellowstone National Park,WY,44.7957,-110.6137,369,Materials engineer,1941-11-16 00:00:00+00:00,ff065ff2abbe15990f3ccbd5e549f085,45.68706,-109.891525,0
111,2019-01-01 07:20:08+00:00,Emard Inc,gas_transport,42.1,Shedd,OR,44.453,-123.1065,917,Radio broadcast assistant,1995-07-08 00:00:00+00:00,ebbffdde1a88f889b1eea0a895eabf10,43.595613,-123.429412,0
112,2019-01-01 07:22:34+00:00,Schamberger-O'Keefe,grocery_pos,205.76,Kansas City,MO,38.9621,-94.5959,545147,Counsellor,1987-11-18 00:00:00+00:00,28f3be829fc05cc266b8e20e4d07e0eb,39.511175,-94.760973,0
